Sarlavha (UZ),Kompaniya (Original),Joylashuv (UZ),Sana (Original),Havola
Mac Agent Python ishlab chiqaruvchi / Linux Agent ishlab chiqaruvchisi,(주)아이젝스,"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51264080&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python ishlab chiquvchisi (rivojlanishning 3 yildan ortiq tajribasi),(주)코너,Yongsan - The Seul,~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50926787&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Veb rivojlanish] CRM menejmenti PHP Java Piton,(주)에코바이오의학연구소,DAEJON Yussong -Gu,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51314412&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Milliy jamg'arma ta'limni qo'llab-quvvatlash] O'qituvchilar (axborot va kommunikatsiya) (Java / Big ma'lumotlar / Python),(주)KH인재교육원,Ulsan nam,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51184573&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
2025 yilda bosh ofis va filiallarni yollash,명화공업(주),"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/04(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51372686&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Wiz Korea Co, Ltd. '25-yarim yillikda yangi / martaba xodimlarini yollash",(주)위즈코리아,"Gangseo -Gu, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51160084&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Dow texnologiyasi tajribasi • Katta -4ale iste'dodni yollash,(주)다우기술,"Seongnam -si, Gyeonggi -do -do",내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51322506&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Oziq-ovqat texnikasi Co., Ltd.",(주)푸드테크,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50944477&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
2025 yil okean obligatsiyalari,(주)코오롱,"Gvakeon, Gyeonggi -do -do",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51335048&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Autox] 2025 yilda sobiq armiya yangi / martaba yollash bo'yicha qo'llanma,(주)오토닉스,"Gangseo -Gu, Seul",~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51382350&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
2025 yilning ikkinchi yarmida har bir sohada yangi va martaba yollash,퍼스텍(주),"SeongSan -Gu, Changwon -si, Gyeongnam",~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51303905&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Soha bo'yicha 2005 yilning uchinchi choragida ommaviy yollash,극동건설(주),Butun mamlakat bo'ylab,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51102256&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Daidong] har bir sohada tajribani yollash,(주)대동,"Seocho -Gu, Seul",~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51364440&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
2025 yildagi kategoriya bo'yicha yangi yollash,위아공작기계(주),"Changwon -si, Gyeongnam",~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51382824&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
2026 yilgi bahor semestrlar KT AI Magistr magistraturasi (shartnoma shartnomasi),(주)케이티,"Seocho -Gu, Seul",~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51364837&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[KT DS] 2025 yilda tajribali xodimlarni doimiy ravishda yollash,(주)케이티디에스,"Seocho -Gu, Seul",~ 08/05(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51373650&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Mks Koreya (Yu) | ATOTECH Koreya Co., Ltd.",엠케이에스코리아(유),"Giheung -gu, Yongin -si, Gyeonggi -do -do",~ 07/29(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51236975&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
2025 Meritz har bir sohada martaba yollash,메리츠화재해상보험(주),Gangnam - The Seul,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51326451&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
25 iyul kuni har bir sohada yangi / martaba xodimlarini yollash,(주)신지모루,"Mapo -Gu, Seul",~ 08/04(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50976423&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Dominoning pizza (shu jumladan filiallar) jamoatchilikni yollash,청오디피케이(주),Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51189375&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"(Samsung SDS ilhomlangan Co., Ltd.) ikkinchi yarmida yollash",비젠트로(주),"Seongnam -si, Gyeonggi -do -do",오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51334744&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"Piai Co., LTD.",(주)피아이이,"H9ASAGON -SI, GYEONGI -DO",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51160907&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
2025 yilning birinchi yarmida,(주)더블티,"Gwon -Gu, Suwon -si, Gyeonggi -do -do",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50542164&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[KOSDAQ YUQORI KOMPANIYASI] 2025 yilda ovqatni yollash,이에이트(주),"Songpa -Gu, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50441637&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Katta korporatsiya / O'z-o'zidan - pangyo] SK filiallari shtab-kvartirasi ishlab chiquvchilar,(주)사람인에이치에스,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51214999&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Yangi / martaba yollashini yollash,에이엠(주),"Gvakeon, Gyeonggi -do -do",~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51371705&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Har bir sohada muntazam ishchilarni yollash,(주)임팩티브에이아이,Gangnam - The Seul,~ 08/19(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51348148&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"Bosh ofisning har bir sektorini (ultratovush, ilmiy-tadqiqot instituti, chet elda sotish, boshqaruvni qo'llab-quvvatlash)",(주)디알젬,Gwangmyeong - - Gyeonggi -do,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51272559&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Yollash,(주)견우푸드,"Gwangju, gyeonggi -do",~ 08/11(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51239570&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Xavfli podshohlikdagi barcha sohalarda karerani yollash,(주)리스큐어바이오사이언시스,"Seongnam -si, Gyeonggi -do -do",~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51248867&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"[Hyundai motorining 1-tarixi / tashqi ishlar vazirligi) dala jalb qilish (muhandis, ofis ishi)",한국보그워너티에스(유),Chungbuuk Eumseong -Gun,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51324953&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
2025 yilda yangi va tajribali xodimlarni yollash,단암시스템즈(주),"Dong -Gu, Anang -si, Gyeonggi -do -do",~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51273831&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
2025 yilning ikkinchi yarmida har bir sohada yangi / martaba yollash,효성전기(주),Avtobus gizang-kuyov,~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51393599&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"Karyea Co, Ltd. karyerasini yollash (Seul / Degu)",주식회사 리만코리아,Gangnam - The Seul,~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51253342&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Vaqti-vaqti bilan SetRekning martaba ishini olib borish,(주)쎄트렉아이,DAEJON Yussong -Gu,~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51361944&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
2025 Pol guruhi vaqti-vaqti bilan yollash,피에스케이홀딩스(주),"Seongnam -si, Gyeonggi -do -do",~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51335830&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Kosmetika ishlab chiqaruvchisi] Har bir sohada yangi / martaba yollash,(주)이앤씨,"Chuin-The, Yongin -si, Gyeonggi -do -do",~ 08/31(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50838075&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Har bir sohada yangi va martaba yollash,(주)에이아이코리아,"Pyeongtaek, gyeonggi -do",~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51185212&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Vaqti-vaqti bilan NCSoft-dagi barcha tarmoqlarni yollash,(주)엔씨소프트,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 05/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50846410&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Maqsadli axborot texnologiyalari] har bir sohada yangi va martaba yollash,대상정보기술(주),"Gwangjin -Gu, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51135965&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Favqulodda vaziyatlarni yollash butun ishni yollash,(주)비상교육,"Gvakeon, Gyeonggi -do -do",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51202028&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Aloqa uskunalari uchun texnik xizmat ko'rsatish / Sun'iy razvedkalarni rivojlantirish tadqiqotchisi / Web ishlab chiqaruvchisi yollash,(주)스피어에이엑스,"Angong --si, Gyeongbuk",~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51053070&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Gwangju bank qisqa-so'rovi (umumiy / professional) shartnoma,(주)광주은행,Gwangju dong-ning,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359149&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Yangi / martaba xodimlarini ishlab chiqish va rejalashtirishda tarkibni rejalashtirish bo'limiga jalb qilish,(주)연합인포맥스,"Jongno -Gu, Seul",~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51362361&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Internet taraqqiyoti] biz birgalikda ishlash uchun dasturni ishlab chiquvchilarni qidirmoqdamiz.,㈜아이디노,Busdan Xelandae -Gu,~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51333853&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Solop] 2025 yildagi yangi / martaba xodimlarini toifaga jalb qilish,(주)솔탑,Sejong Maxsus o'zini-o'zi boshqarish shahri,~ 08/12(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51203202&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"Real veb-dasturer Co., Ltd. (yangi va martaba) ishga qabul qilish",(주)리얼웹,Gangnam - The Seul,~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300962&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"Bertis Co., LTD ni yollash.",(주)베르티스,"Gvakeon, Gyeonggi -do -do",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51243034&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
AI chuqur eritmasi va ishlab chiqaruvchi (yangi ishga qabul qilish) ishga qabul qilish to'g'risida e'lon,(주)에이아이딥,"Gvakeon, Gyeonggi -do -do",~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51352967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"[Ernicom Co., Ltd] Ma'lumotlar tahlilchisi Yangi / martaba yollash",어니컴(주),Yongsan - The Seul,~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359761&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Barcha sektorlarni yollash,(주)원익로보틱스,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 09/20(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51336332&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Yaponiyalik tajriba] HR / Buxgalteriya / Bosh kotib / XRD rejalashtirish / ma'muriy menejment bo'yicha ma'muriy menejmentni jalb qilish,(주)에스테이트,"Gangseo -Gu, Seul",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51374609&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
"[Mahalliy Top7 Huquq firmasi / yuridik firmasi] Gangnam in'ektsiya idorasini yollash (ishlab chiqaruvchi, tizim menejeri, veb-sayyora, dizayner)",법무법인와이케이,Gangnam - The Seul,~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50990670&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Robot / Robotika S / W muhandisni yollash (stajyor / yangi / Kasper / Professional tadqiqotchi),(주)테솔로,Gwangmyeong - - Gyeonggi -do,~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51266814&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Yulduzlar Texnologiyasi] NARAS Stiv texnologiyasini yollash,(주)나라스페이스테크놀로지,"Yeongdeungpo -Gu, Seul",~ 09/20(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51364278&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Robot muhandislari SW ishlab chiqaruvchilarni yollash,(주)비전스페이스,Gangnam - The Seul,~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358423&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Boyd] Orqaga oxirgi muhandis,(주)블라스트,"Seocho -Gu, Seul",상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51396098&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Seul / Gyonggi] O'qish 0 Bo'sh ishlarni yollash kursi,엠비씨(MBC)아카데미 컴퓨터교육센터,"Jongno -Gu, Seul",~ 08/12(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563552&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Har bir sohada yangi va martaba tinglash,기쁨병원,"Seocho -Gu, Seul",~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51209388&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
Biz dasturiy ta'minot ishlab chiqaruvchisimiz.,(주)탑테이블,"Mapo -Gu, Seul",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51365497&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Transcures / Yeouido] Bizning CXni rivojlantirish bo'limimiz 4-qismni ishlab chiquvchi MGD5,(주)트랜스코스모스코리아,"Yeongdeungpo -Gu, Seul",~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51373526&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
[Nexen shinalari] 2025 yilning ikkinchi yarmida kunlik tajriba stolini yollash (menejment idorasi),넥센타이어(주),"Gangseo -Gu, Seul",~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358873&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
2025 yil sentyabr oyida alohida ofislarni yollash (kontrakt ishchilari),한국자동차연구원,"Cheonon -si, Chungnam",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290660&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9338acf8-3f06-4cf6-88f9-1cad7a70624c
